species,food,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calories,omega3_mg,omega6_mg,bioavailability_score,glycemic_index,ingredient_cost_usd,toxin_flag,protein_match,fat_match,carb_tolerance,sugar_risk,omega_balance,bioavailability_match,glycemic_risk,digestibility_index,fiber_compatibility,predicted_caloric_density,health_grade
Dog,Chicken Breast,31.0,3.6,0.0,0.0,0.0,165.0,70.0,600.0,0.92,0.0,0.55,0.0,0.8611111111111112,1.0,1.0,0.0,0.2954545454545454,0.92,0.0,0.782,0.7,0.3631,A
Dog,Beef (Ground 85%),26.1,15.0,0.0,0.0,0.0,250.0,50.0,520.0,0.9,0.0,0.65,0.0,0.7250000000000001,1.0,1.0,0.0,0.2318181818181818,0.9,0.0,0.765,0.7,0.41,A
Dog,Salmon,20.4,6.3,0.0,0.0,0.0,140.0,2260.0,170.0,0.95,0.0,1.2,0.0,0.5666666666666667,1.0,1.0,0.0,0.5386363636363636,0.95,0.0,0.8075,0.7,0.2834,A
Dog,Tuna,23.3,1.0,0.0,0.0,0.0,109.0,1600.0,40.0,0.93,0.0,0.9,0.0,0.6472222222222223,1.0,1.0,0.0,0.509090909090909,0.93,0.0,0.7905,0.7,0.2888,A
Dog,Turkey Breast,29.0,1.0,0.0,0.0,0.0,135.0,40.0,410.0,0.91,0.0,0.6,0.0,0.8055555555555556,1.0,1.0,0.0,0.18409090909090908,0.91,0.0,0.7735,0.7,0.3356,A
Dog,Lamb,25.5,16.5,0.0,0.0,0.0,258.0,100.0,850.0,0.88,0.0,0.85,0.0,0.7083333333333334,1.0,1.0,0.0,0.4204545454545454,0.88,0.0,0.748,0.7,0.3916,A
Dog,Pork Loin,27.3,8.0,0.0,0.0,0.0,196.0,30.0,700.0,0.87,0.0,0.55,0.0,0.7583333333333333,1.0,1.0,0.0,0.22727272727272727,0.87,0.0,0.7394999999999999,0.7,0.3776,A
Dog,Duck,19.0,11.2,0.0,0.0,0.0,201.0,90.0,1100.0,0.86,0.0,1.0,0.0,0.5277777777777778,1.0,1.0,0.0,0.4545454545454546,0.86,0.0,0.731,0.7,0.3344,A
Dog,Egg (Whole),12.6,9.5,0.7,0.0,0.4,143.0,74.0,1150.0,0.94,0.0,0.25,0.0,0.35,1.0,1.0,0.02,0.42954545454545456,0.94,0.0,0.7989999999999999,0.7,0.3795,A
Dog,Egg (White),10.9,0.2,0.7,0.0,0.7,52.0,0.0,0.0,0.88,0.0,0.2,0.0,0.3027777777777778,1.0,1.0,0.034999999999999996,0.0,0.88,0.0,0.748,0.7,0.3156,A
Dog,Cottage Cheese,11.1,4.3,3.4,0.0,2.7,98.0,20.0,80.0,0.8,27.0,0.4,0.0,0.30833333333333335,1.0,1.0,0.135,0.06363636363636363,0.8,0.27,0.68,0.7,0.321,B
Dog,Yogurt (Plain),3.5,3.3,4.7,0.0,4.7,61.0,10.0,50.0,0.78,36.0,0.3,0.0,0.09722222222222222,1.0,1.0,0.23500000000000001,0.03409090909090909,0.78,0.36,0.663,0.7,0.307,C
Dog,Milk (Whole),3.3,3.3,4.8,0.0,5.1,61.0,30.0,120.0,0.75,31.0,0.15,0.0,0.09166666666666666,1.0,1.0,0.255,0.09545454545454544,0.75,0.31,0.6375,0.7,0.3206,B
Dog,Cheese (Cheddar),25.0,33.1,1.3,0.0,0.5,403.0,100.0,650.0,0.82,0.0,0.7,0.0,0.6944444444444444,0.6759999999999999,1.0,0.025,0.375,0.82,0.0,0.697,0.7,0.487,A
Dog,Rice (White Cooked),2.7,0.3,28.2,0.4,0.1,130.0,5.0,30.0,0.7,73.0,0.08,0.0,0.07500000000000001,1.0,1.0,0.005,0.01818181818181818,0.7,0.73,0.595,0.74,0.3628,D
Dog,Rice (Brown Cooked),2.6,0.9,23.5,1.8,0.4,111.0,10.0,90.0,0.68,55.0,0.1,0.0,0.07222222222222223,1.0,1.0,0.02,0.04318181818181818,0.68,0.55,0.5780000000000001,0.88,0.3487,C
Dog,Oats (Cooked),2.5,1.5,12.0,1.7,0.3,68.0,20.0,860.0,0.65,55.0,0.12,0.0,0.06944444444444445,1.0,1.0,0.015,0.2409090909090909,0.65,0.55,0.5525,0.87,0.3224,C
Dog,Quinoa (Cooked),4.4,1.9,21.3,2.8,0.9,120.0,50.0,700.0,0.72,53.0,0.35,0.0,0.12222222222222223,1.0,1.0,0.045,0.2727272727272727,0.72,0.53,0.612,0.98,0.3322,B
Dog,Sweet Potato (Cooked),2.0,0.1,20.1,3.0,6.5,86.0,2.0,4.0,0.74,63.0,0.15,0.0,0.05555555555555555,1.0,1.0,0.325,0.005454545454545454,0.74,0.63,0.629,1.0,0.3345,D
